pedido_id;data_pedido;status;cliente_id;nome_cliente;cidade;estado;grupo;categoria;produto_id;quantidade;preco_unitario;valor_item_total
913239;2024-01-05 12:56:17;CONFIRMADO;27874;Thiago Moura;SÃO PAULO;PE;C;ROUPAS;9866;2;959,88;1919,76
913239;2024-01-05 12:56:17;CONFIRMADO;27874;Thiago Moura;SÃO PAULO;PE;C;BRINQUEDOS;7759;3;434,9;1304,7
913239;2024-01-05 12:56:17;CONFIRMADO;27874;Thiago Moura;SÃO PAULO;PE;C;ESPORTES;5205;3;898,72;2696,16
913239;2024-01-05 12:56:17;CONFIRMADO;27874;Thiago Moura;SÃO PAULO;PE;C;LIVROS;9432;1;304,54;304,54
913239;2024-01-05 12:56:17;CONFIRMADO;27874;Thiago Moura;SÃO PAULO;PE;C;DECORAÇÃO;2572;1;292,27;292,27
679493;2023-11-15 18:41:09;PENDENTE;77948;Srta. Maria Julia Barbosa;GOIÂNIA;SC;C;ROUPAS;8718;1;858,62;858,62
679493;2023-11-15 18:41:09;PENDENTE;77948;Srta. Maria Julia Barbosa;GOIÂNIA;SC;C;ROUPAS;8709;1;774,01;774,01
679493;2023-11-15 18:41:09;PENDENTE;77948;Srta. Maria Julia Barbosa;GOIÂNIA;SC;C;BRINQUEDOS;7359;1;83,91;83,91
679493;2023-11-15 18:41:09;PENDENTE;77948;Srta. Maria Julia Barbosa;GOIÂNIA;SC;C;ROUPAS;6036;2;782,57;1565,14
679493;2023-11-15 18:41:09;PENDENTE;77948;Srta. Maria Julia Barbosa;GOIÂNIA;SC;C;LIVROS;4454;1;668,95;668,95
267663;2024-04-08 14:04:47;PENDENTE;23863;Levi Souza;MARANHÃO;MG;A;ELETRÔNICOS;4230;2;122,25;244,5
267663;2024-04-08 14:04:47;PENDENTE;23863;Levi Souza;MARANHÃO;MG;A;ELETRÔNICOS;4814;1;680,42;680,42
267663;2024-04-08 14:04:47;PENDENTE;23863;Levi Souza;MARANHÃO;MG;A;ELETRÔNICOS;8011;3;888,52;2665,56
267663;2024-04-08 14:04:47;PENDENTE;23863;Levi Souza;MARANHÃO;MG;A;ESPORTES;7841;2;170,44;340,88
699688;2024-06-25 17:10:28;CONFIRMADO;79354;Thomas da Paz;RIO DE JANEIRO;AL;A;BRINQUEDOS;9077;1;604,55;604,55
699688;2024-06-25 17:10:28;CONFIRMADO;79354;Thomas da Paz;RIO DE JANEIRO;AL;A;ROUPAS;7454;3;439,61;1318,83
602702;2023-08-21 17:46:05;CONFIRMADO;36097;Juan Moraes;BELO HORIZONTE;PR;C;LIVROS;3544;3;41,67;125,01
952021;2024-12-28 18:41:20;CONFIRMADO;95973;Dr. João Vitor da Cunha;SÃO PAULO;DF;A;ROUPAS;9558;3;128,69;386,07
952021;2024-12-28 18:41:20;CONFIRMADO;95973;Dr. João Vitor da Cunha;SÃO PAULO;DF;A;LIVROS;5136;2;487,26;974,52
952021;2024-12-28 18:41:20;CONFIRMADO;95973;Dr. João Vitor da Cunha;SÃO PAULO;DF;A;ROUPAS;3928;2;43,55;87,1
952021;2024-12-28 18:41:20;CONFIRMADO;95973;Dr. João Vitor da Cunha;SÃO PAULO;DF;A;BRINQUEDOS;3946;1;132,25;132,25
522787;2023-10-07 06:21:51;CONFIRMADO;25875;Ana Vitória Azevedo;SÃO PAULO;RN;A;BRINQUEDOS;6678;1;840,66;840,66
522787;2023-10-07 06:21:51;CONFIRMADO;25875;Ana Vitória Azevedo;SÃO PAULO;RN;A;LIVROS;5746;2;384,68;769,36
990462;2023-09-17 21:45:01;CONFIRMADO;60728;Mirella Cavalcanti;SÃO PAULO;TO;B;ELETRÔNICOS;1131;1;877,77;877,77
990462;2023-09-17 21:45:01;CONFIRMADO;60728;Mirella Cavalcanti;SÃO PAULO;TO;B;LIVROS;6474;1;101,97;101,97
990462;2023-09-17 21:45:01;CONFIRMADO;60728;Mirella Cavalcanti;SÃO PAULO;TO;B;ELETRÔNICOS;8126;2;439,34;878,68
990462;2023-09-17 21:45:01;CONFIRMADO;60728;Mirella Cavalcanti;SÃO PAULO;TO;B;ESPORTES;4793;1;622,92;622,92
990462;2023-09-17 21:45:01;CONFIRMADO;60728;Mirella Cavalcanti;SÃO PAULO;TO;B;DECORAÇÃO;1277;2;980,19;1960,38
519176;2025-07-08 09:19:21;CONFIRMADO;22221;André da Mata;SÃO PAULO;PR;C;ELETRÔNICOS;5292;2;277,61;555,22
519176;2025-07-08 09:19:21;CONFIRMADO;22221;André da Mata;SÃO PAULO;PR;C;DECORAÇÃO;7212;1;353,8;353,8
519176;2025-07-08 09:19:21;CONFIRMADO;22221;André da Mata;SÃO PAULO;PR;C;ALIMENTOS;5906;2;995,38;1990,76
659385;2024-03-11 13:58:21;PENDENTE;21160;Vitor Gabriel Cardoso;SÃO PAULO;RO;A;DECORAÇÃO;5287;1;932,02;932,02
659385;2024-03-11 13:58:21;PENDENTE;21160;Vitor Gabriel Cardoso;SÃO PAULO;RO;A;LIVROS;6474;2;101,97;203,94
659385;2024-03-11 13:58:21;PENDENTE;21160;Vitor Gabriel Cardoso;SÃO PAULO;RO;A;BRINQUEDOS;8248;3;859,54;2578,62
654820;2025-02-23 07:37:45;CONFIRMADO;69481;Maria Fernanda Barbosa;SÃO PAULO;PR;A;DECORAÇÃO;1857;1;934,91;934,91
654820;2025-02-23 07:37:45;CONFIRMADO;69481;Maria Fernanda Barbosa;SÃO PAULO;PR;A;DECORAÇÃO;3187;2;522,81;1045,62
654820;2025-02-23 07:37:45;CONFIRMADO;69481;Maria Fernanda Barbosa;SÃO PAULO;PR;A;ROUPAS;5330;1;978,32;978,32
896090;2024-11-06 11:47:38;CONFIRMADO;83712;Dr. Joaquim Rodrigues;MARANHÃO;RS;A;ROUPAS;4826;3;437,71;1313,13
896090;2024-11-06 11:47:38;CONFIRMADO;83712;Dr. Joaquim Rodrigues;MARANHÃO;RS;A;DECORAÇÃO;2263;1;791,05;791,05
584765;2024-03-27 20:55:07;CONFIRMADO;94356;Luiz Henrique Duarte;MARANHÃO;RS;C;ALIMENTOS;2290;1;996,87;996,87
584765;2024-03-27 20:55:07;CONFIRMADO;94356;Luiz Henrique Duarte;MARANHÃO;RS;C;ROUPAS;9635;3;757,55;2272,65
584765;2024-03-27 20:55:07;CONFIRMADO;94356;Luiz Henrique Duarte;MARANHÃO;RS;C;ROUPAS;6645;1;120,03;120,03
584765;2024-03-27 20:55:07;CONFIRMADO;94356;Luiz Henrique Duarte;MARANHÃO;RS;C;DECORAÇÃO;1146;3;249,16;747,48
178409;2023-08-26 18:19:26;CANCELADO;13196;Theo da Rosa;SÃO PAULO;MG;C;ROUPAS;2772;2;199,08;398,16
178409;2023-08-26 18:19:26;CANCELADO;13196;Theo da Rosa;SÃO PAULO;MG;C;ROUPAS;1383;1;378,89;378,89
887939;2024-10-30 17:35:16;CONFIRMADO;77098;Caroline Lima;GOIÂNIA;MT;A;ROUPAS;8818;2;449,11;898,22
887939;2024-10-30 17:35:16;CONFIRMADO;77098;Caroline Lima;GOIÂNIA;MT;A;ROUPAS;3277;3;125,13;375,39
887939;2024-10-30 17:35:16;CONFIRMADO;77098;Caroline Lima;GOIÂNIA;MT;A;ELETRÔNICOS;4818;1;517,09;517,09
289722;2023-12-21 03:21:33;CANCELADO;79354;Thomas da Paz;RIO DE JANEIRO;AL;A;LIVROS;1703;1;470,4;470,4
289722;2023-12-21 03:21:33;CANCELADO;79354;Thomas da Paz;RIO DE JANEIRO;AL;A;ESPORTES;5221;3;750,98;2252,94
289722;2023-12-21 03:21:33;CANCELADO;79354;Thomas da Paz;RIO DE JANEIRO;AL;A;ROUPAS;4269;1;967,88;967,88
663150;2024-10-22 13:36:50;CANCELADO;30390;Ana Carolina Moura;RIO DE JANEIRO;RS;A;ELETRÔNICOS;1180;2;118,03;236,06
445040;2025-05-19 22:01:46;CANCELADO;91135;Bernardo Lima;GOIÂNIA;SP;A;LIVROS;5496;3;27,76;83,28
445040;2025-05-19 22:01:46;CANCELADO;91135;Bernardo Lima;GOIÂNIA;SP;A;ROUPAS;4785;2;886,13;1772,26
445040;2025-05-19 22:01:46;CANCELADO;91135;Bernardo Lima;GOIÂNIA;SP;A;LIVROS;1580;2;173,05;346,1
445040;2025-05-19 22:01:46;CANCELADO;91135;Bernardo Lima;GOIÂNIA;SP;A;ELETRÔNICOS;5448;2;255,02;510,04
491336;2024-06-24 00:27:41;CANCELADO;45116;Srta. Fernanda Costela;SÃO PAULO;BA;C;ELETRÔNICOS;1457;1;556,0;556,0
491336;2024-06-24 00:27:41;CANCELADO;45116;Srta. Fernanda Costela;SÃO PAULO;BA;C;DECORAÇÃO;6423;3;566,18;1698,54
491336;2024-06-24 00:27:41;CANCELADO;45116;Srta. Fernanda Costela;SÃO PAULO;BA;C;ELETRÔNICOS;5448;1;255,02;255,02
491336;2024-06-24 00:27:41;CANCELADO;45116;Srta. Fernanda Costela;SÃO PAULO;BA;C;ROUPAS;8846;3;68,05;204,15
491336;2024-06-24 00:27:41;CANCELADO;45116;Srta. Fernanda Costela;SÃO PAULO;BA;C;DECORAÇÃO;9571;3;416,11;1248,33
258882;2023-08-03 17:26:27;CANCELADO;58997;Pedro Lucas Moraes;GOIÂNIA;RJ;B;ALIMENTOS;8955;2;500,42;1000,84
258882;2023-08-03 17:26:27;CANCELADO;58997;Pedro Lucas Moraes;GOIÂNIA;RJ;B;ALIMENTOS;8285;3;287,92;863,76
963946;2024-01-28 01:59:21;CONFIRMADO;82487;Ana Costela;SÃO PAULO;BA;B;ELETRÔNICOS;5501;1;451,04;451,04
963946;2024-01-28 01:59:21;CONFIRMADO;82487;Ana Costela;SÃO PAULO;BA;B;LIVROS;4191;1;22,13;22,13
499967;2023-09-26 18:44:12;PENDENTE;83712;Dr. Joaquim Rodrigues;MARANHÃO;RS;A;ELETRÔNICOS;3084;2;772,27;1544,54
149528;2024-04-02 07:39:27;PENDENTE;13196;Theo da Rosa;SÃO PAULO;MG;C;ELETRÔNICOS;8143;3;355,45;1066,35
149528;2024-04-02 07:39:27;PENDENTE;13196;Theo da Rosa;SÃO PAULO;MG;C;ESPORTES;6045;1;45,23;45,23
149528;2024-04-02 07:39:27;PENDENTE;13196;Theo da Rosa;SÃO PAULO;MG;C;DECORAÇÃO;2702;2;78,03;156,06
954384;2023-12-14 04:55:24;PENDENTE;69166;João Felipe Correia;SÃO PAULO;SE;A;ROUPAS;1136;1;202,87;202,87
184137;2024-07-14 22:29:51;CONFIRMADO;95213;Dr. Bryan Caldeira;BELO HORIZONTE;ES;B;ROUPAS;6036;3;782,57;2347,71
